,x,y,width,height,reward
0,-339.97008190387214,71.0938274003136,111,55,2
1,-225.96536277075188,100.16642248590728,82,129,2
2,-207.0471097746625,-134.04450864623516,129,73,8
3,-301.85894845125716,109.00537369275612,64,77,10
4,-278.7175090504422,7.005989621662513,79,69,4
5,-329.3663531374207,-73.37083645156025,100,118,3
6,-351.7427951573173,51.69827659361393,62,103,2
7,-207.19738801171843,2.259135007217857,80,77,4
8,-223.92318442934572,-8.414159026248093,100,66,7
9,-293.39863426147724,17.85362520851989,113,65,10
10,-150.86056882992534,10.005046464848983,74,94,8
11,-147.81433750022273,-29.564250843331212,122,102,8
12,-283.4280236781375,-23.201540678283244,149,102,3
13,-248.30386806282135,70.35770249589706,55,126,3
14,-266.13387978836977,-113.5476164241315,131,129,2
15,-167.9911754468847,-41.28717938653442,100,89,6
16,-219.49366555601924,-16.227972012682436,54,138,7
17,-63.30060951529143,107.70789622339139,143,111,7
18,-249.29461215325847,-53.07749412762565,89,142,2
19,-383.4799482858739,-53.600224755707536,97,115,4
20,-268.7516569201961,-113.39232882335594,150,97,8
21,-325.3845654769532,120.98104910904755,108,110,10
22,-338.7984979750088,2.7398150307387406,71,92,6
23,-276.71931305416666,52.380584277733746,100,93,3
24,-308.1398677957359,-52.20514622877751,86,145,9
25,-242.6922508457587,-1.4732217446506923,92,60,10
26,-210.45546099876395,-103.91263721870479,148,67,5
27,-142.15686868049738,-76.88315676899944,104,147,2
28,-232.2835755317628,-4.176034198367661,103,103,2
29,-188.40350959162558,97.75808390612548,131,105,1
30,-248.98469619576142,100.00103801139042,58,77,3
31,65.51768275536368,-53.30946762180862,92,118,10
32,143.93090388030743,-25.602380009324634,93,89,4
33,15.624556932849089,32.728151327684586,64,107,5
34,126.06087638977371,-5.710058672036375,97,139,5
35,0.6142056692409881,-57.285487007243205,104,145,2
36,58.61821686133698,88.77075692290325,76,67,6
37,217.16856122955457,-63.80768760041544,127,51,8
38,77.28576360280049,81.7146426436819,86,50,4
39,-50.895551666463604,-29.48308330756062,50,102,3
40,27.30370178099843,-121.69549178954784,52,52,4
41,148.77226558071231,-125.32211228896523,103,88,6
42,117.91728306680064,-48.412447289512315,126,139,4
43,109.63191719959379,-69.79076375024687,139,66,2
44,97.97277111199608,-230.72449256047793,72,52,8
45,89.39584651997436,-159.3742349913843,79,56,8
46,95.751803376578,-95.35803030324433,147,127,9
47,109.70427890373706,-50.99702431752715,83,133,10
48,223.13676834190557,-23.262768009585823,97,107,1
49,14.740024246706895,-54.744835402722124,121,110,7
50,86.40449989423047,-2.6376988089272047,111,53,9
51,161.2484565939386,-9.342377392194386,150,131,7
52,141.1347717288483,0.7852020544094032,130,69,1
53,-41.61059648559748,-96.8558262649145,145,93,3
54,123.30703778492696,34.406552811342394,88,64,7
55,-47.46042504276352,-39.39336494942233,60,135,6
56,158.39264761925642,65.70008860850513,109,134,6
57,-63.97349237449643,-29.783906046877846,139,126,3
58,29.906787866609818,2.16480267367146,139,70,1
59,87.56677865815521,-27.202094296961235,131,123,10
60,216.11688060230273,-91.12640791599316,60,68,8
61,103.91367889565959,-48.18681037992701,74,135,1
62,393.16275883668413,-83.9936097838324,63,74,8
63,396.29066645941253,-32.91855666705648,142,144,3
64,398.82106714550946,-53.49796296030955,82,55,2
65,454.2545093190037,-59.56390723475105,140,142,6
66,539.2899496299563,-44.680903665607424,115,142,8
67,479.38701002320386,-22.804678577731956,79,149,10
68,437.59979966998054,-78.64401798095922,146,72,3
69,520.0828111639843,-85.02844199703686,110,133,4
70,284.84314649002,-90.49311084195335,81,100,6
71,428.9483705406982,-158.65935504631258,143,58,8
72,412.3406985756891,-95.4745205556049,78,87,3
73,490.2034750339473,0.20837425677777333,146,148,6
74,589.2711942960689,-139.11309744671843,76,58,4
75,367.7532190162338,-47.49383622024879,110,144,10
76,522.9730152733689,-47.823243873372206,104,135,8
77,457.89216160180865,-17.393737077090663,115,53,2
78,405.67082843676593,-110.58149307517057,79,111,4
79,313.26880126100184,-44.748477921293706,93,73,2
80,452.29797982756236,-41.73609157099897,134,78,5
81,543.6939506110282,-36.9411523956479,130,138,10
82,423.6467404290625,-145.93191471783027,75,103,10
83,437.2831908243015,38.70394812075263,95,106,2
84,489.64297366187077,-20.81488581396073,88,125,8
85,419.6562776417028,-207.27172913138634,58,128,4
86,446.5927647295149,7.251257887255846,68,81,3
87,343.52447700047634,-57.179245793838454,87,55,2
88,412.85640702861826,-95.24621397536987,78,71,1
89,507.99953465306754,-98.51678058679957,137,81,2
90,482.10926570310437,-64.21866899208935,128,74,8
91,470.8687714133458,-164.84636430607992,75,98,8
92,545.6549299429203,-71.08801816002237,62,74,2
93,31.699933933544735,58.495641668507346,73,62,5
94,23.42319360021173,41.51966988824266,120,68,9
95,51.35744705476333,57.705298480006135,137,121,4
96,28.039334988961095,65.83136556626772,114,55,2
97,12.233134362308727,66.66105516366429,57,50,3
98,48.91843771117785,20.38345139584821,121,110,1
99,27.88535246559253,20.63687269660279,95,61,4
